Collection: 903	UID:20141106192644405
STATUS,URL,CODE,REDIRECT
CRAWLED,"http://baydeltaconservationplan.com/",301,null
CRAWLED,"http://baydeltaconservationplan.com/Home.aspx",200,null
CRAWLED,"http://ci.sebastopol.ca.us/",200,null
CRAWLED,"http://marinwater.org/",200,null
CRAWLED,"http://onebayarea.org/index.php",200,null
CRAWLED,"http://santaclaraca.gov/",200,null
CRAWLED,"http://scv-habitatagency.org/",200,null
CRAWLED,"http://sonomacounty.ca.gov/",200,null
CRAWLED,"http://www.abag.org/",200,null
CRAWLED,"http://www.acgov.org/",200,null
CRAWLED,"http://www.acwd.org/",200,null
CRAWLED,"http://www.baaqmd.gov/",200,null
CRAWLED,"http://www.bart.gov/",200,null
CRAWLED,"http://www.bcpud.org/",200,null
CRAWLED,"http://www.caltrain.com/main.html",200,null
CRAWLED,"http://www.ccwater.com/",200,null
CRAWLED,"http://www.centralsan.org/",200,null
CRAWLED,"http://www.ci.berkeley.ca.us/",302,null
CRAWLED,"http://www.ci.berkeley.ca.us/Home.aspx",200,null
CRAWLED,"http://www.ci.east-palo-alto.ca.us/",200,null
NOTCRAWLED,"http://www.ci.menlo-park.ca.us/",-6,null
CRAWLED,"http://www.ci.richmond.ca.us/",200,null
CRAWLED,"http://www.ci.sanmateo.ca.us/",200,null
CRAWLED,"http://www.ci.santa-clara.ca.us/",301,null
CRAWLED,"http://www.ci.santa-rosa.ca.us/",302,null
CRAWLED,"http://www.ci.santa-rosa.ca.us/Pages/default.aspx",200,null
CRAWLED,"http://www.ci.sausalito.ca.us/",200,null
CRAWLED,"http://www.ci.sebastopol.ca.us/",301,null
CRAWLED,"http://www.ci.sf.ca.us/",404,null
CRAWLED,"http://www.ci.vallejo.ca.us/",200,null
CRAWLED,"http://www.city.palo-alto.ca.us/",301,null
CRAWLED,"http://www.cityofmillvalley.org/",200,null
CRAWLED,"http://www.cityofnapa.org/",200,null
CRAWLED,"http://www.cityofpaloalto.org/",200,null
CRAWLED,"http://www.co.contra-costa.ca.us/",200,null
CRAWLED,"http://www.co.marin.ca.us/default1024.asp",301,null
CRAWLED,"http://www.co.napa.ca.us/",403,null
CRAWLED,"http://www.co.sanmateo.ca.us/smc/county/home/0,,1774_2126,00.html",404,null
CRAWLED,"http://www.co.santa-cruz.ca.us/",200,null
CRAWLED,"http://www.co.solano.ca.us/",200,null
CRAWLED,"http://www.cupertino.org/",200,null
CRAWLED,"http://www.ddsd.org/",200,null
CRAWLED,"http://www.dsrsd.com/",200,null
CRAWLED,"http://www.ebmud.com/",200,null
CRAWLED,"http://www.ebparks.org/",200,null
CRAWLED,"http://www.larpd.dst.ca.us/",301,null
CRAWLED,"http://www.larpd.org/",200,null
CRAWLED,"http://www.marincounty.org/",200,null
CRAWLED,"http://www.mtc.ca.gov/",200,null
CRAWLED,"http://www.mvsd.org/",200,null
CRAWLED,"http://www.oaklandnet.com/",302,null
CRAWLED,"http://www.openspace.org/",200,null
CRAWLED,"http://www.redwoodcity.org/",200,null
CRAWLED,"http://www.samtrans.com/",200,null
CRAWLED,"http://www.sanjoseca.gov/",200,null
CRAWLED,"http://www.sccgov.org/",301,null
CRAWLED,"http://www.sccgov.org/sites/planning",302,null
CRAWLED,"http://www.sccgov.org/sites/planning/Pages/PlanningHome.aspx",200,null
CRAWLED,"http://www.sccgov.org/sites/scc",302,null
CRAWLED,"http://www.sccgov.org/sites/scc/Pages/default.aspx",200,null
CRAWLED,"http://www.sccplanning.org/",301,null
CRAWLED,"http://www.scv-habitatplan.org/www/default.aspx",301,null
CRAWLED,"http://www.sf-planning.org/",200,null
CRAWLED,"http://www.sonoma-county.org/",301,null
CRAWLED,"http://www.sonomacity.org/",200,null
CRAWLED,"http://www.valleywater.org/",200,null
CRAWLED,"http://www.vta.org/",200,null
CRAWLED,"http://www.waterboards.ca.gov/sanfranciscobay/",200,null
CRAWLED,"http://www2.oaklandnet.com/",200,null
